n_samples,n_input_pairs,n_discarded_pairs,pair_retention_rate,mean_baseline_error,mean_proposed_error,mean_error_difference,median_error_difference,improvement_percent,t_statistic,p_value,ci95_mean_difference,wilcoxon_statistic,wilcoxon_p_value,normality_test,normality_statistic,normality_p_value,normality_rejects_at_alpha,hedges_g,cohens_d_paired,effect_category,bootstrap_mean_difference,bootstrap_ci95_mean_difference,bootstrap_improvement_percent,bootstrap_ci95_improvement_percent,post_hoc_power,evidence_strength,is_significant,wilcoxon_is_significant,has_nontrivial_effect,ci_supports_improvement,bootstrap_ci_supports_improvement,comparison,holm_adjusted_p_value,holm_significant,direction_supports_adaptive,adjusted_and_directionally_supported
30000,30000,0,1.0,0.19025476666666666,0.134947,0.055307766666666675,0.0,29.070371079620788,58.02018737422648,0.0,"(0.05343935483523208, 0.05717617849810127)",20754058.5,0.0,dagostino_pearson,16152.24420726315,0.0,True,0.3349713331477703,0.3349797079894218,Small,0.055315391820000004,"(0.05350716333333333, 0.057162832499999996)",29.07184943386336,"(28.35926913461117, 29.796157867578817)",1.0,Moderate,True,True,True,True,True,adaptive_vs_fixed,0.0,True,True,True
30000,30000,0,1.0,0.41203866666666666,0.134947,0.2770916666666667,0.1880000000000006,67.24894750978065,132.68125557808096,0.0,"(0.2729983107699678, 0.2811850225633656)",31978083.0,0.0,dagostino_pearson,17460.629213593573,0.0,True,0.7660164345565826,0.7660355862442257,Medium,0.2770721551866667,"(0.27313161500000005, 0.2811832266666666)",67.24669951422025,"(66.82520028098607, 67.68055321078316)",1.0,Strong,True,True,True,True,True,adaptive_vs_single,0.0,True,True,True
